cluster	priority	recommended_action	volume_band	phrase	frequency_msk_spb	seed	source
HOT_SERVICE	P1	search_keyword_core	mid	создание ai агентов	225	ai агент	wordstat_extra
BRAND_COMPETITOR	P2	separate_competitor_or_audience	mid	яндекс ии агент	221	ии агент	wordstat_extra
ADJACENT_CASE	P2	separate_adjacent_or_rsya	mid	чат бот для бизнеса	217	чат бот для бизнеса	wordstat_existing
NEGATIVE	P0	minus_candidate	mid	ии агенты обучение	217	ии агент	wordstat_extra
INFO	P3	content_or_cpc_minus	mid	бизнес в условиях цифровой трансформации	215	цифровая трансформация бизнеса	wordstat_existing
OTHER_REVIEW	P3	manual_review	mid	российские разработки искусственного интеллекта	214	разработка искусственного интеллекта	wordstat_existing
OTHER_REVIEW	P3	manual_review	mid	технологии цифровой трансформации бизнеса	213	цифровая трансформация бизнеса	wordstat_existing
AI_SYSTEMS	P1	search_keyword_cluster	mid	ai ии агент	213	ии агент	wordstat_extra
INFO	P3	content_or_cpc_minus	mid	цель внедрения искусственного интеллекта	212	внедрение искусственного интеллекта	wordstat_existing
WARM_CATEGORY	P1	search_keyword_broad_or_rsya	mid	система автоматизации бизнес процессов	207	автоматизация бизнес процессов	wordstat_existing
OTHER_REVIEW	P3	manual_review	mid	агент модели ии	200	ии агент	wordstat_extra
WARM_CATEGORY	P1	search_keyword_broad_or_rsya	mid	компания автоматизация бизнеса	198	автоматизация компании	wordstat_existing
WARM_CATEGORY	P1	search_keyword_broad_or_rsya	mid	ai трансформация	197	ai трансформация	wordstat_extra
NEGATIVE	P0	minus_candidate	mid	работа с ии агентами	188	ии агент	wordstat_extra
HOT_SERVICE	P1	search_keyword_core	mid	москва внедрение искусственного интеллекта	186	внедрение искусственного интеллекта	wordstat_existing
INDUSTRY_PRODUCTION	P2	search_keyword_industry	mid	ии для производства	184	ии для производства	wordstat_existing
AI_SYSTEMS	P1	search_keyword_cluster	mid	чат ии агентов	181	ии агент	wordstat_extra
NEGATIVE	P0	minus_candidate	mid	курс по ии агентам	178	ии агент	wordstat_extra
OTHER_REVIEW	P3	manual_review	mid	сотрудники ии компаний	177	ии сотрудник	wordstat_extra
NEGATIVE	P0	minus_candidate	mid	ии агент алиса	175	ии агент	wordstat_extra
INFO	P3	content_or_cpc_minus	mid	ии агент использовать	171	ии агент	wordstat_extra
WARM_CATEGORY	P1	search_keyword_broad_or_rsya	mid	нейросеть для компании	168	нейросеть для компании	wordstat_existing
BRAND_COMPETITOR	P2	separate_competitor_or_audience	mid	ии агент claude	166	ии агент	wordstat_extra
WARM_CATEGORY	P1	search_keyword_broad_or_rsya	mid	цифровая трансформация бизнеса компании	164	цифровая трансформация бизнеса	wordstat_existing
HOT_SERVICE	P1	search_keyword_core	mid	внедрение технологий искусственного интеллекта в москве	163	внедрение искусственного интеллекта	wordstat_existing
HOT_SERVICE	P1	search_keyword_core	mid	разработка искусственного интеллекта москва	162	разработка искусственного интеллекта	wordstat_existing
OTHER_REVIEW	P3	manual_review	mid	компании автоматизация решения	156	автоматизация компании	wordstat_existing
AI_SYSTEMS	P1	search_keyword_cluster	mid	система ии агентов	155	ии агент	wordstat_extra
INFO	P3	content_or_cpc_minus	mid	использование ии агентов	155	ии агент	wordstat_extra
INFO	P3	content_or_cpc_minus	mid	закон о внедрении искусственного интеллекта	154	внедрение искусственного интеллекта	wordstat_existing
SECURITY_PRIVACY	P1	keyword_and_ad_message	mid	локальные llm модели	153	локальная llm	wordstat_extra
HOT_SERVICE	P1	search_keyword_core	mid	внедрение искусственного интеллекта в бизнес	148	внедрение искусственного интеллекта	wordstat_existing
HOT_SERVICE	P1	search_keyword_core	mid	внедрение ии агентов	148	внедрение ии агентов	wordstat_existing
OTHER_REVIEW	P3	manual_review	mid	ий под ключ	144	ии под ключ	wordstat_existing
INFO	P3	content_or_cpc_minus	mid	ии агент исследовать	144	ии агент	wordstat_extra
WARM_CATEGORY	P1	search_keyword_broad_or_rsya	mid	нейросеть для работы с документами	142	нейросеть для документов	wordstat_existing
INFO	P3	content_or_cpc_minus	mid	ии агенты примеры	141	ии агент	wordstat_extra
WARM_CATEGORY	P1	search_keyword_broad_or_rsya	mid	автоматизация управления компанией	138	автоматизация компании	wordstat_existing
INFO	P3	content_or_cpc_minus	mid	ии агенты 2026	131	ии агент	wordstat_extra
HOT_SERVICE	P1	search_keyword_core	mid	ии консалтинг	130	ии консалтинг	wordstat_existing
WARM_CATEGORY	P1	search_keyword_broad_or_rsya	mid	автоматизация бизнес процессов управления	129	автоматизация бизнес процессов	wordstat_existing
ADJACENT_CASE	P2	separate_adjacent_or_rsya	mid	транскрибация встречи	128	транскрибация встреч	wordstat_existing
WARM_CATEGORY	P1	search_keyword_broad_or_rsya	mid	искусственный интеллект внедрение и управление	127	внедрение искусственного интеллекта	wordstat_existing
HOT_SERVICE	P1	search_keyword_core	mid	разработка искусственного интеллекта ии	122	разработка искусственного интеллекта	wordstat_existing
WARM_CATEGORY	P1	search_keyword_broad_or_rsya	mid	автоматизация бизнес процессов компании	120	автоматизация бизнес процессов	wordstat_existing
ADJACENT_CASE	P2	separate_adjacent_or_rsya	mid	система автоматизации документооборота	119	автоматизация документооборота	wordstat_existing
WARM_CATEGORY	P1	search_keyword_broad_or_rsya	mid	нейросеть для создания документов	119	нейросеть для документов	wordstat_existing
NEGATIVE	P0	minus_candidate	mid	алиса ai агент	119	ai агент	wordstat_extra
HOT_SERVICE	P1	search_keyword_core	mid	внедрение искусственного интеллекта в россии	118	внедрение искусственного интеллекта	wordstat_existing
AI_SYSTEMS	P1	search_keyword_cluster	mid	автономные ии агенты	116	ии агент	wordstat_extra
HOT_SERVICE	P1	search_keyword_core	mid	разработка ai агентов	115	ai агент	wordstat_extra
NEGATIVE	P0	minus_candidate	mid	разработка искусственного интеллекта обучение	114	разработка искусственного интеллекта	wordstat_existing
ADJACENT_CASE	P2	separate_adjacent_or_rsya	mid	автоматизация электронного документооборота	114	автоматизация документооборота	wordstat_existing
HOT_SERVICE	P1	search_keyword_core	mid	внедрение искусственного интеллекта сферы	112	внедрение искусственного интеллекта	wordstat_existing
INDUSTRY_PRODUCTION	P2	search_keyword_industry	mid	автоматизация производства компании	112	автоматизация компании	wordstat_existing
INFO	P3	content_or_cpc_minus	mid	ии агенты где	112	ии агент	wordstat_extra
INFO	P3	content_or_cpc_minus	mid	методы обезличивания данных	111	обезличивание данных	wordstat_existing
OTHER_REVIEW	P3	manual_review	mid	цифровой отзывы сотрудников	110	цифровой сотрудник	wordstat_existing
HOT_SERVICE	P1	search_keyword_core	mid	платформа для ии агентов	109	ии агент	wordstat_extra
BRAND_COMPETITOR	P2	separate_competitor_or_audience	mid	ии агент сбер	109	ии агент	wordstat_extra
INFO	P3	content_or_cpc_minus	mid	как создать ai агента	109	ai агент	wordstat_extra
WARM_CATEGORY	P1	search_keyword_broad_or_rsya	mid	ии для бизнес процессов	107	ии для бизнеса	wordstat_existing
WARM_CATEGORY	P1	search_keyword_broad_or_rsya	mid	автоматизации бизнес процессов предприятия	107	автоматизация бизнес процессов	wordstat_existing
WARM_CATEGORY	P1	search_keyword_broad_or_rsya	mid	автоматизация бизнес процессов решения	106	автоматизация бизнес процессов	wordstat_existing
INFO	P3	content_or_cpc_minus	mid	цифровая трансформация бизнеса изменение	105	цифровая трансформация бизнеса	wordstat_existing
OTHER_REVIEW	P3	manual_review	mid	разработки в сфере искусственного интеллекта	105	разработка искусственного интеллекта	wordstat_existing
OTHER_REVIEW	P3	manual_review	mid	автоматизация работы компании	105	автоматизация компании	wordstat_existing
INFO	P3	content_or_cpc_minus	mid	чем отличаются ии агенты	105	ии агент	wordstat_extra
OTHER_REVIEW	P3	manual_review	mid	ии для создания бизнеса	104	ии для бизнеса	wordstat_existing
WARM_CATEGORY	P1	search_keyword_broad_or_rsya	mid	цифровая трансформация современного бизнеса	104	цифровая трансформация бизнеса	wordstat_existing
INFO	P3	content_or_cpc_minus	mid	обезличивание персональных данных это	104	обезличивание данных	wordstat_existing
INFO	P3	content_or_cpc_minus	mid	лучшие локальные llm	104	локальная llm	wordstat_extra
NEGATIVE	P0	minus_candidate	mid	курс нейросети для бизнеса	103	нейросети для бизнеса	wordstat_existing
INFO	P3	content_or_cpc_minus	mid	какие есть ии агенты	103	ии агент	wordstat_extra
OTHER_REVIEW	P3	manual_review	mid	кодекс агент ии	103	ии агент	wordstat_extra
OTHER_REVIEW	P3	manual_review	mid	цифровые трансформации развития бизнеса	102	цифровая трансформация бизнеса	wordstat_existing
OTHER_REVIEW	P3	manual_review	mid	ии финансовый агент	102	ии агент	wordstat_extra
HOT_SERVICE	P1	search_keyword_core	mid	написание ии агентов	102	ии агент	wordstat_extra
AI_SYSTEMS	P1	search_keyword_cluster	mid	управление ии агентами	102	ии агент	wordstat_extra
INFO	P3	content_or_cpc_minus	low	искусственный интеллект практика внедрения	99	внедрение искусственного интеллекта	wordstat_existing
NEGATIVE	P0	minus_candidate	low	курс ии для бизнеса	99	ии для бизнеса	wordstat_existing
NEGATIVE	P0	minus_candidate	low	ии агент скачать	99	ии агент	wordstat_extra
OTHER_REVIEW	P3	manual_review	low	внедрение автоматизации бизнес процессов	98	автоматизация бизнес процессов	wordstat_existing
BRAND_COMPETITOR	P2	separate_competitor_or_audience	low	just ai platform	98	just ai	wordstat_existing
HOT_SERVICE	P1	search_keyword_core	low	внедрение искусственного интеллекта компании	97	внедрение искусственного интеллекта	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	нейросеть для документов ворд	97	нейросеть для документов	wordstat_existing
AI_SYSTEMS	P1	search_keyword_cluster	low	ии агент инструмент	96	ии агент	wordstat_extra
AI_SYSTEMS	P1	search_keyword_cluster	low	gpt для бизнеса	95	gpt для бизнеса	wordstat_existing
INFO	P3	content_or_cpc_minus	low	цифровая трансформация бизнеса 2024	95	цифровая трансформация бизнеса	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	специалист по внедрению искусственного интеллекта	94	внедрение искусственного интеллекта	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	цифровая трансформация российского бизнеса	94	цифровая трансформация бизнеса	wordstat_existing
AI_SYSTEMS	P1	search_keyword_cluster	low	ии агенты в россии	93	ии агент	wordstat_extra
AI_SYSTEMS	P1	search_keyword_cluster	low	ии агенты и автоматизация	93	ии агент	wordstat_extra
OTHER_REVIEW	P3	manual_review	low	сотрудник использует ии	93	ии сотрудник	wordstat_extra
AI_SYSTEMS	P1	search_keyword_cluster	low	ии агент для поиска	92	ии агент	wordstat_extra
AI_SYSTEMS	P1	search_keyword_cluster	low	новый ии агент	92	ии агент	wordstat_extra
OTHER_REVIEW	P3	manual_review	low	программа внедрения искусственного интеллекта	91	внедрение искусственного интеллекта	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	цифровизация цифровая трансформация бизнеса	91	цифровая трансформация бизнеса	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	разработка в области искусственного интеллекта	91	разработка искусственного интеллекта	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	оптимизация бизнес процессов автоматизация	91	автоматизация бизнес процессов	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	анализ автоматизации бизнес процессов	91	автоматизация бизнес процессов	wordstat_existing
INFO	P3	content_or_cpc_minus	low	как работают ии агенты	91	ии агент	wordstat_extra
INDUSTRY_PRODUCTION	P2	search_keyword_industry	low	ии для промышленности	90	ии для промышленности	wordstat_existing
SECURITY_PRIVACY	P1	keyword_and_ad_message	low	обезличивание персональных данных обработка	90	обезличивание данных	wordstat_existing
INFO	P3	content_or_cpc_minus	low	трансформация бизнеса в условиях цифровой экономики	89	цифровая трансформация бизнеса	wordstat_existing
HOT_SERVICE	P1	search_keyword_core	low	разработка искусственного интеллекта в россии	89	разработка искусственного интеллекта	wordstat_existing
BRAND_COMPETITOR	P2	separate_competitor_or_audience	low	agent platform just ai	89	just ai	wordstat_existing
AI_SYSTEMS	P1	search_keyword_cluster	low	ии агенты для анализа	89	ии агент	wordstat_extra
INFO	P3	content_or_cpc_minus	low	лучший ии для бизнеса	88	ии для бизнеса	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	направления цифровой трансформации бизнеса	88	цифровая трансформация бизнеса	wordstat_existing
INFO	P3	content_or_cpc_minus	low	методы обезличивания персональных данных	88	обезличивание данных	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	ai сайт агенты	88	ai агент	wordstat_extra
INFO	P3	content_or_cpc_minus	low	как сделать ai агента	88	ai агент	wordstat_extra
OTHER_REVIEW	P3	manual_review	low	новые разработки искусственного интеллекта	87	разработка искусственного интеллекта	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	технологии автоматизации бизнес процессов	87	автоматизация бизнес процессов	wordstat_existing
BRAND_COMPETITOR	P2	separate_competitor_or_audience	low	ии агент клод	87	ии агент	wordstat_extra
INFO	P3	content_or_cpc_minus	low	риски внедрения искусственного интеллекта	86	внедрение искусственного интеллекта	wordstat_existing
AI_SYSTEMS	P1	search_keyword_cluster	low	готовые ии агенты	86	ии агент	wordstat_extra
ADJACENT_CASE	P2	separate_adjacent_or_rsya	low	протокол встречи ии	86	протокол встречи ии	wordstat_extra
OTHER_REVIEW	P3	manual_review	low	разработка автоматизации бизнес процессов	85	автоматизация бизнес процессов	wordstat_existing
INFO	P3	content_or_cpc_minus	low	какой ии агент лучше	85	ии агент	wordstat_extra
NEGATIVE	P0	minus_candidate	low	обучение сотрудников ии	84	ии сотрудник	wordstat_extra
NEGATIVE	P0	minus_candidate	low	обучение внедрение искусственного интеллекта	83	внедрение искусственного интеллекта	wordstat_existing
HOT_SERVICE	P1	search_keyword_core	low	автоматизация и внедрение искусственного интеллекта	83	внедрение искусственного интеллекта	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	ии ассистент для бизнеса	83	ии для бизнеса	wordstat_existing
INDUSTRY_OTHER	P2	separate_vertical_test	low	внедрение искусственного интеллекта здравоохранения	82	внедрение искусственного интеллекта	wordstat_existing
HOT_SERVICE	P1	search_keyword_core	low	настройка ии агента	82	ии агент	wordstat_extra
HOT_SERVICE	P1	search_keyword_core	low	настрой ии агента	82	ии агент	wordstat_extra
ADJACENT_CASE	P2	separate_adjacent_or_rsya	low	внедрение rpa	81	внедрение rpa	wordstat_existing
NEGATIVE	P0	minus_candidate	low	бесплатная нейросеть для документов	81	нейросеть для документов	wordstat_existing
AI_SYSTEMS	P1	search_keyword_cluster	low	ии агент в компанию	81	ии агент	wordstat_extra
NEGATIVE	P0	minus_candidate	low	бесплатный ai агент	81	ai агент	wordstat_extra
OTHER_REVIEW	P3	manual_review	low	стратегии цифровой трансформации бизнеса	80	цифровая трансформация бизнеса	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	голосовой ассистент ии	80	голосовой ии ассистент	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	цифровые компетенции сотрудников	80	цифровой сотрудник	wordstat_existing
AI_SYSTEMS	P1	search_keyword_cluster	low	ии агенты сервис	80	ии агент	wordstat_extra
AI_SYSTEMS	P1	search_keyword_cluster	low	ai агенты для бизнеса	80	ai агент	wordstat_extra
ADJACENT_CASE	P2	separate_adjacent_or_rsya	low	процесс автоматизации документооборот	78	автоматизация документооборота	wordstat_existing
AI_SYSTEMS	P1	search_keyword_cluster	low	chatgpt для бизнеса	77	chatgpt для бизнеса	wordstat_existing
INFO	P3	content_or_cpc_minus	low	нейросети для разработчиков	77	разработчик нейросетей	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	проект автоматизации компании	77	автоматизация компании	wordstat_existing
INFO	P3	content_or_cpc_minus	low	лучшие ai агенты	77	ai агент	wordstat_extra
HOT_SERVICE	P1	search_keyword_core	low	внедрение искусственного интеллекта проект	75	внедрение искусственного интеллекта	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	цифровая трансформация малого бизнеса	75	цифровая трансформация бизнеса	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	нейросеть для анализа документов	75	нейросеть для документов	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	перспективы внедрения искусственного интеллекта	74	внедрение искусственного интеллекта	wordstat_existing
HOT_SERVICE	P1	search_keyword_core	low	внедрение ии для бизнеса	74	ии для бизнеса	wordstat_existing
AI_SYSTEMS	P1	search_keyword_cluster	low	управление мультиагентным системами	74	мультиагентные системы	wordstat_existing
INDUSTRY_PRODUCTION	P2	search_keyword_industry	low	искусственный интеллект на производстве	74	искусственный интеллект на производстве	wordstat_existing
INDUSTRY_PRODUCTION	P2	search_keyword_industry	low	компания промышленная автоматизация	74	автоматизация компании	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	компания автоматизация и технологии	73	автоматизация компании	wordstat_existing
INFO	P3	content_or_cpc_minus	low	предиктивное обслуживание это	73	предиктивное обслуживание	wordstat_extra
OTHER_REVIEW	P3	manual_review	low	компании автоматизации 1с	72	автоматизация компании	wordstat_existing
INDUSTRY_PRODUCTION	P2	search_keyword_industry	low	системы предиктивного обслуживания	71	предиктивное обслуживание	wordstat_extra
HOT_SERVICE	P1	search_keyword_core	low	внедрение ии в бизнес процессы	70	внедрение ии в бизнес	wordstat_existing
INFO	P3	content_or_cpc_minus	low	цифровая трансформация бизнеса изменение бизнес модели	70	цифровая трансформация бизнеса	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	цифровая трансформация бизнеса в россии	70	цифровая трансформация бизнеса	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	компания занимающаяся автоматизацией	70	автоматизация компании	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	ии для бизнес плана	69	ии для бизнеса	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	ии трансформация бизнеса	69	ии трансформация бизнеса	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	эксперты по искусственному интеллекту	69	эксперт по искусственному интеллекту	wordstat_existing
HOT_SERVICE	P1	search_keyword_core	low	внедрение искусственного интеллекта рф	68	внедрение искусственного интеллекта	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	задачи цифровой трансформации бизнеса	68	цифровая трансформация бизнеса	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	инструменты цифровой трансформации бизнеса	68	цифровая трансформация бизнеса	wordstat_existing
NEGATIVE	P0	minus_candidate	low	ai агенты обучение	68	ai агент	wordstat_extra
OTHER_REVIEW	P3	manual_review	low	ии решения для бизнеса	67	ии для бизнеса	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	направления разработки искусственного интеллекта	67	разработка искусственного интеллекта	wordstat_existing
NEGATIVE	P0	minus_candidate	low	ии агент алисы ai	67	ai агент	wordstat_extra
INFO	P3	content_or_cpc_minus	low	внедрение искусственного интеллекта правительство	66	внедрение искусственного интеллекта	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	применение ии в бизнесе	66	применение ии в бизнесе	wordstat_existing
BRAND_COMPETITOR	P2	separate_competitor_or_audience	low	just ai компания	66	just ai	wordstat_existing
NEGATIVE	P0	minus_candidate	low	работа с ai агентами	66	ai агент	wordstat_extra
INFO	P3	content_or_cpc_minus	low	внедрение искусственного интеллекта в государственное управление	65	внедрение искусственного интеллекта	wordstat_existing
NEGATIVE	P0	minus_candidate	low	ии для бизнеса обучение	65	ии для бизнеса	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	цель цифровой трансформации бизнеса	65	цифровая трансформация бизнеса	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	информационные системы автоматизации бизнес процессов	65	автоматизация бизнес процессов	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	автоматизация систем управления компания	65	автоматизация компании	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	внедрение автоматизации в компании	65	автоматизация компании	wordstat_existing
NEGATIVE	P0	minus_candidate	low	ии для бизнеса бесплатно	64	ии для бизнеса	wordstat_existing
INFO	P3	content_or_cpc_minus	low	лучшие нейросети для бизнеса	64	нейросети для бизнеса	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	специалист по внедрению ии	64	специалист по внедрению ии	wordstat_existing
SECURITY_PRIVACY	P1	keyword_and_ad_message	low	локальный запуск llm	64	локальная llm	wordstat_extra
INDUSTRY_OTHER	P2	separate_vertical_test	low	внедрение искусственного интеллекта в образование	63	внедрение искусственного интеллекта	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	автоматизация бизнес процессов организации	63	автоматизация бизнес процессов	wordstat_existing
INFO	P3	content_or_cpc_minus	low	обезличивание персональных данных 2025	63	обезличивание данных	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	стратегия внедрения ии	63	стратегия внедрения ии	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	проблемы внедрения искусственного интеллекта	62	внедрение искусственного интеллекта	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	ооо компания автоматизация	62	автоматизация компании	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	технологии и процесс цифровой трансформации бизнеса	61	цифровая трансформация бизнеса	wordstat_existing
INFO	P3	content_or_cpc_minus	low	исследование и разработка искусственного интеллекта	61	разработка искусственного интеллекта	wordstat_existing
INFO	P3	content_or_cpc_minus	low	как внедрить искусственный интеллект	61	внедрить искусственный интеллект	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	no stress just vibes ai irie	61	just ai	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	план внедрения искусственного интеллекта	60	внедрение искусственного интеллекта	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	внедрение технологии искусственного интеллекта ии	60	внедрение искусственного интеллекта	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	ии для бизнес анализа	60	ии для бизнеса	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	внедрение генеративного ии	60	внедрение генеративного ии	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	автоматизация предприятий компания	59	автоматизация компании	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	сотрудники цифровой экономики	59	цифровой сотрудник	wordstat_existing
NEGATIVE	P0	minus_candidate	low	цифровое обучение сотрудников	59	цифровой сотрудник	wordstat_existing
