Query,Criterion,CriterionId,Impressions,Clicks,Cost,CTR,AvgCPC,Conversions,Quality_Flag
"ии агент в вашу организацию","ии-агент -разработка -внедрение -настройка -компания -купить","--",1,0,0.00,0.00,--,0,LOW_QUALITY
"ии агент для тендеров","ии-агент -разработка -внедрение -настройка -компания -купить","--",1,0,0.00,0.00,--,0,LOW_QUALITY
"ии агент для тендеров артикул","ии-агент -разработка -внедрение -настройка -компания -купить","--",1,0,0.00,0.00,--,0,LOW_QUALITY
"ии агент что это","ии-агент -разработка -внедрение -настройка -компания -купить","--",1,0,0.00,0.00,--,0,LOW_QUALITY
"ии агент это","ии-агент -разработка -внедрение -настройка -компания -купить","--",2,0,0.00,0.00,--,0,LOW_QUALITY
"ии для проверки документов","нейросеть для анализа документов","--",1,0,0.00,0.00,--,0,LOW_QUALITY
"ии для составления плана магазина в селе","---autotargeting","--",1,1,14.76,100.00,14.76,0,LOW_QUALITY_CLICK
"ии для химического анализа данных и построения графиков зависимости сигналов сенсоров от диэлектрической проницаемости","ии в химии","--",1,1,38.19,100.00,38.19,0,LOW_QUALITY_CLICK
"ии придумать как назвать компанию","---autotargeting","--",1,0,0.00,0.00,--,0,LOW_QUALITY
"ии программы для корп секретаря","корпоративный ии ассистент","--",1,0,0.00,0.00,--,0,LOW_QUALITY
"ии программы для корп секретаря протоколы собраний","ии для протокола совещания","--",1,0,0.00,0.00,--,0,LOW_QUALITY
"ии сканера документов в редактируемый ворд","нейросеть для документов -анализ","--",1,0,0.00,0.00,--,0,LOW_QUALITY
"искусственный интеллект","---autotargeting","--",1,0,0.00,0.00,--,0,BROAD_MATCH
"искусственный интеллект для работы службы безопасности","---autotargeting","--",1,1,4.86,100.00,4.86,0,RELEVANT_CLICK
"как делать искусственный интеллект","разработка систем искусственного интеллекта","--",1,0,0.00,0.00,--,0,LOW_QUALITY
"как дмитрий донской участвует во внедрении искусственного интеллекта","внедрение искусственного интеллекта -бизнес","--",1,0,0.00,0.00,--,0,IRRELEVANT
"как защитить мои паспортные данные","защита персональных данных","--",1,0,0.00,0.00,--,0,IRRELEVANT
"как применять ии в современной металлургии","ии в металлургии","--",1,0,0.00,0.00,--,0,LOW_QUALITY
"какая мера обеспечивает защиту персональных данных","защита персональных данных","--",2,0,0.00,0.00,--,0,IRRELEVANT
"какой ии может проанализировать выручку по точкам неделя к неделе","---autotargeting","--",1,1,77.68,100.00,77.68,0,HIGH_CPC_SINGLE_CLICK
"карманный консультант ии","консультант по ии","--",1,0,0.00,0.00,--,0,LOW_QUALITY
"кейс яндекс go через браузер ии агент","ии-агент -разработка -внедрение -настройка -компания -купить","--",1,0,0.00,0.00,--,0,LOW_QUALITY
"кодекс ии агент","ии-агент -разработка -внедрение -настройка -компания -купить","--",2,0,0.00,0.00,--,0,SELF_BRAND
"коммерческая архитектурная визуализация","---autotargeting","--",1,0,0.00,0.00,--,0,LOW_QUALITY
"комплект организационно распорядительной документации по защите персональных данных","защита персональных данных","--",1,0,0.00,0.00,--,0,IRRELEVANT
"локальный ии агент","ии-агент -разработка -внедрение -настройка -компания -купить","--",1,0,0.00,0.00,--,0,LOW_QUALITY
"методика применения ии на кии фстэк","---autotargeting","--",1,0,0.00,0.00,--,0,LOW_QUALITY
"методические рекомендации по цифровой трансформации от минцифры","цифровая трансформация","--",1,0,0.00,0.00,--,0,IRRELEVANT
"можно ли внедрить искусственный интеллект в 1с","---autotargeting","--",1,0,0.00,0.00,--,0,LOW_QUALITY
"на сайте размещается политика обработки персональных данных...","защита персональных данных","--",1,0,0.00,0.00,--,0,IRRELEVANT
"название ооо строительство через ии","---autotargeting","--",1,0,0.00,0.00,--,0,LOW_QUALITY
"национальный проект экономика данных и цифровая трансформация государства с 2025 г","цифровая трансформация","--",1,0,0.00,0.00,--,0,GARBAGE
"новый ии агент google","ии-агент -разработка -внедрение -настройка -компания -купить","--",1,0,0.00,0.00,--,0,LOW_QUALITY
"об утверждении требований к защите персональных данных при их обработке в информационных системах...","защита персональных данных","--",1,0,0.00,0.00,--,0,IRRELEVANT
"ооо ии стратегия","ии-стратегия","--",2,0,0.00,0.00,--,0,SELF_BRAND
"описание бизнес процесса как называется","описание бизнес-процессов","--",1,0,0.00,0.00,--,0,IRRELEVANT
"описание бизнес процесса как называется bpmn","описание бизнес-процессов","--",1,0,0.00,0.00,--,0,IRRELEVANT
"описание бизнес процесса как называется схема","описание бизнес-процессов","--",1,0,0.00,0.00,--,0,IRRELEVANT
"основы проектирования и документирования вычислительной сети","проектирование информационных систем","--",1,0,0.00,0.00,--,0,IRRELEVANT
"ответы на тест цифровая трансформация в фпк инфо","цифровая трансформация","--",2,0,0.00,0.00,--,0,GARBAGE
"платформы управления ии агентами","---autotargeting","--",1,0,0.00,0.00,--,0,LOW_QUALITY
"подключить ai к своему проекту","---autotargeting","--",2,0,0.00,0.00,--,0,LOW_QUALITY
"подтверждение соответствия макс требованиям по защите персональных данных","защита персональных данных","--",1,0,0.00,0.00,--,0,IRRELEVANT
"помощь искусственного интеллекта","---autotargeting","--",1,0,0.00,0.00,--,0,LOW_QUALITY
"проанализировать договор с помощью ии","нейросеть для анализа документов","--",1,0,0.00,0.00,--,0,LOW_QUALITY
"программные средства поддерживающие процессы создания и сопровождения корпоративных информационных систем...","проектирование информационных систем","--",1,0,0.00,0.00,--,0,IRRELEVANT
"рынок ии агентов","ии-агент -разработка -внедрение -настройка -компания -купить","--",1,0,0.00,0.00,--,0,LOW_QUALITY
"самая удачная видеокарта для локальной llm","локальная llm -бизнес -развертывание","--",2,0,0.00,0.00,--,0,LOW_QUALITY
"сделать пдф файл с помощью нейросети","нейросеть для документов -анализ","--",1,0,0.00,0.00,--,0,LOW_QUALITY
"собираем ии агент в организацию","ии-агент -разработка -внедрение -настройка -компания -купить","--",1,0,0.00,0.00,--,0,LOW_QUALITY
"схема бизнес процесса bpmn","---autotargeting","--",1,0,0.00,0.00,--,0,IRRELEVANT
"тест защита персональных данных","защита персональных данных","--",1,0,0.00,0.00,--,0,IRRELEVANT
"тесты с ответами по теме пк 6.7 осуществлять защиту персональных данных пациентов...","защита персональных данных","--",1,0,0.00,0.00,--,0,IRRELEVANT
"техническое задание тз на разработку программного обеспечения для интеграции счетчиков...","разработка тз","--",1,0,0.00,0.00,--,0,LOW_QUALITY
"требования для запуска локально llm","---autotargeting","--",1,0,0.00,0.00,--,0,LOW_QUALITY
"удк защита персональных данных в профессиональной деятельности","защита персональных данных","--",1,0,0.00,0.00,--,0,IRRELEVANT
"установление режима коммерческой тайны в организации","защита коммерческой тайны","--",1,0,0.00,0.00,--,0,IRRELEVANT
"финансовое моделирование в chatgpt тариф pro","chatgpt для бизнеса -безопасный","--",1,0,0.00,0.00,--,0,LOW_QUALITY
"финансовое моделирование в chatgpt тариф pro","gpt для бизнеса -private","--",1,0,0.00,0.00,--,0,LOW_QUALITY
"ципр","---autotargeting","--",2,0,0.00,0.00,--,0,LOW_QUALITY
"цифровая трансформация в россии позволила внедрить","цифровая трансформация","--",1,0,0.00,0.00,--,0,IRRELEVANT
"цифровая трансформация государственного управления включает вопрос 13...","цифровая трансформация","--",1,0,0.00,0.00,--,0,GARBAGE
"цифровая трансформация москва пресненская дом 6","цифровая трансформация","--",1,0,0.00,0.00,--,0,IRRELEVANT
"цифровая трансформация пресненская дом 6","цифровая трансформация","--",2,0,0.00,0.00,--,0,IRRELEVANT
"цифровая трансформация это","цифровая трансформация","--",2,1,51.89,50.00,51.89,0,RELEVANT
"цифровые решения для промышленности список компаний екатеринбург","цифровизация предприятия","--",1,0,0.00,0.00,--,0,LOW_QUALITY
"чат бот битрикс24","чат бот для бизнеса -разработка","--",1,0,0.00,0.00,--,0,LOW_QUALITY
"швецов ю г цифровая трансформация банков москва экономистъ 2021 296 с","цифровая трансформация","--",1,0,0.00,0.00,--,0,IRRELEVANT
